დავითაშვილი კობა	კობა	დავითაშვილი	http://parliament.ge//index.php?option=com_k2&amp;view=item&amp;id=238:davitashvili-koba&amp;Itemid=129&amp;lang=ge	https://declaration.gov.ge/declaration.php?id=44012	80	1	http://ka.wikipedia.org/w/index.php?search=დავითაშვილი%20კობა	https://twitter.com/search?q=დავითაშვილი%20კობა	http://www.facebook.com/search.php?q=დავითაშვილი%20კობა	https://www.linkedin.com/vsearch/p?type=people&amp;keywords=დავითაშვილი%20კობა 
დოლიძე ვიქტორ	ვიქტორ	დოლიძე	http://parliament.ge//index.php?option=com_k2&amp;view=item&amp;id=166:dolidze-viktor&amp;Itemid=129&amp;lang=ge	https://declaration.gov.ge/declaration.php?id=44100	64	1	http://ka.wikipedia.org/w/index.php?search=დოლიძე%20ვიქტორ	https://twitter.com/search?q=დოლიძე%20ვიქტორ	http://www.facebook.com/search.php?q=დოლიძე%20ვიქტორ	https://www.linkedin.com/vsearch/p?type=people&amp;keywords=დოლიძე%20ვიქტორ 
დუმბაძე მურმან	მურმან	დუმბაძე	http://parliament.ge//index.php?option=com_k2&amp;view=item&amp;id=169:dumbadze-murman&amp;Itemid=129&amp;lang=ge	https://declaration.gov.ge/declaration.php?id=44015	50	1	http://ka.wikipedia.org/w/index.php?search=დუმბაძე%20მურმან	https://twitter.com/search?q=დუმბაძე%20მურმან	http://www.facebook.com/search.php?q=დუმბაძე%20მურმან	https://www.linkedin.com/vsearch/p?type=people&amp;keywords=დუმბაძე%20მურმან 
ებანოიძე ნოდარ	ნოდარ	ებანოიძე	http://parliament.ge//index.php?option=com_k2&amp;view=item&amp;id=155:ebanoidze-nodar&amp;Itemid=129&amp;lang=ge	https://declaration.gov.ge/declaration.php?id=44016	81	1	http://ka.wikipedia.org/w/index.php?search=ებანოიძე%20ნოდარ	https://twitter.com/search?q=ებანოიძე%20ნოდარ	http://www.facebook.com/search.php?q=ებანოიძე%20ნოდარ	https://www.linkedin.com/vsearch/p?type=people&amp;keywords=ებანოიძე%20ნოდარ 
ენუქიძე გოჩა	გოჩა	ენუქიძე	http://parliament.ge//index.php?option=com_k2&amp;view=item&amp;id=31:enukidze-gocha&amp;Itemid=129&amp;lang=ge	https://declaration.gov.ge/declaration.php?id=46001	235	4	http://ka.wikipedia.org/w/index.php?search=ენუქიძე%20გოჩა	https://twitter.com/search?q=ენუქიძე%20გოჩა	http://www.facebook.com/search.php?q=ენუქიძე%20გოჩა	https://www.linkedin.com/vsearch/p?type=people&amp;keywords=ენუქიძე%20გოჩა 
ვახტანგაშვილი მალხაზ	მალხაზ	ვახტანგაშვილი	http://parliament.ge//index.php?option=com_k2&amp;view=item&amp;id=249:vakhtangashvili-malkhaz&amp;Itemid=129&amp;lang=ge	https://declaration.gov.ge/declaration.php?id=44017	79	1	http://ka.wikipedia.org/w/index.php?search=ვახტანგაშვილი%20მალხაზ	https://twitter.com/search?q=ვახტანგაშვილი%20მალხაზ	http://www.facebook.com/search.php?q=ვახტანგაშვილი%20მალხაზ	https://www.linkedin.com/vsearch/p?type=people&amp;keywords=ვახტანგაშვილი%20მალხაზ 
ვაშაძე გიორგი	გიორგი	ვაშაძე	http://parliament.ge//index.php?option=com_k2&amp;view=item&amp;id=259:vashadze-giorgi&amp;lang=ge	https://declaration.gov.ge/declaration.php?id=46291	249	1	http://ka.wikipedia.org/w/index.php?search=ვაშაძე%20გიორგი	https://twitter.com/search?q=ვაშაძე%20გიორგი	http://www.facebook.com/search.php?q=ვაშაძე%20გიორგი	https://www.linkedin.com/vsearch/p?type=people&amp;keywords=ვაშაძე%20გიორგი 
ვერულაშვილი მარიკა	მარიკა	ვერულაშვილი	http://parliament.ge//index.php?option=com_k2&amp;view=item&amp;id=138:verulashvili-marika&amp;Itemid=129&amp;lang=ge	https://declaration.gov.ge/declaration.php?id=46107	238	4	http://ka.wikipedia.org/w/index.php?search=ვერულაშვილი%20მარიკა	https://twitter.com/search?q=ვერულაშვილი%20მარიკა	http://www.facebook.com/search.php?q=ვერულაშვილი%20მარიკა	https://www.linkedin.com/vsearch/p?type=people&amp;keywords=ვერულაშვილი%20მარიკა 
ვოლსკი გიორგი	გიორგი	ვოლსკი	http://parliament.ge//index.php?option=com_k2&amp;view=item&amp;id=236:volski-giorgi&amp;Itemid=129&amp;lang=ge	https://declaration.gov.ge/declaration.php?id=44018	81	1	http://ka.wikipedia.org/w/index.php?search=ვოლსკი%20გიორგი	https://twitter.com/search?q=ვოლსკი%20გიორგი	http://www.facebook.com/search.php?q=ვოლსკი%20გიორგი	https://www.linkedin.com/vsearch/p?type=people&amp;keywords=ვოლსკი%20გიორგი 
ზვიადაური ზურაბ	ზურაბ	ზვიადაური	http://parliament.ge//index.php?option=com_k2&amp;view=item&amp;id=171:zviadauri-zurab&amp;Itemid=129&amp;lang=ge	https://declaration.gov.ge/declaration.php?id=44020	81	1	http://ka.wikipedia.org/w/index.php?search=ზვიადაური%20ზურაბ	https://twitter.com/search?q=ზვიადაური%20ზურაბ	http://www.facebook.com/search.php?q=ზვიადაური%20ზურაბ	https://www.linkedin.com/vsearch/p?type=people&amp;keywords=ზვიადაური%20ზურაბ 
