<?xml version="1.0" encoding="UTF-8"?>
ჩარკვიანი	თეიმურაზ	ევროპასთან ინტეგრაციის კომიტეტი	2009-02-27	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2009 წლის თებერვალი 
თორთლაძე	გია	ევროპასთან ინტეგრაციის კომიტეტი	2009-02-27	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2009 წლის თებერვალი 
გელაშვილი	ემზარ	სპორტისა და ახალგაზრადულ საქმეთა კომიტეტი	2009-02-03;	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2009 წლის თებერვალი 
ნაყოფია	კობა	სპორტისა და ახალგაზრდულ საქმეთა კომიტეტი	2009-02-03;	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2009 წლის თებერვალი 
რატი	მაისურაძე	თავდაცვისა და უშიშროების კომიტეტი	2009-11-26;	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2009 წლის ნოემბერი 
გიორგი	ტატიშვილი	თავდაცვისა და უშიშროების კომიტეტი	2009-11-18	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2009 წლის ნოემბერი 
კახაბერ	სუხიშვილი	თავდაცვისა და უშიშროების კომიტეტი	2009-11-26	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2009 წლის ნოემბერი 
თეიმურაზი	ჩარკვიანი	ევროპასთან ინტეგრაციის კომიტეტი	2009-10-19;	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2009 წლის ოქტომბერი 
ნუგზარ	ერგემლიძე	ევროპასთან ინტეგრაციის კომიტეტი	2009-10-19	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2009 წლის ოქტომბერი 
რამინ	ბაირამოვი	ევროპასთან ინტეგრაციის კომიტეტი	2009-10-27	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2009 წლის ოქტომბერი 
რატი	მაისურაძე	თავდაცვისა და უშიშროების კომიტეტი	2009-10-28	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2009 წლის ოქტომბერი 
ასლანი	თავდგირიძე	დარგობრივი ეკონიმიკისა და ეკონომიკური პოლიტიკის კომიტეტი	2009-09-17;2009-09-23	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2009 წლის სექტემბერი 
გიორგი	ტატიშვილი	თავდაცვისა და უშიშროების კომიტეტი	2009-09-15	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2009 წლის სექტემბერი 
გიორგი	გოდაბრელიძე	ევროპასთან ინტეგრაციის კომიტეტი	2010-04-30;	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2010 წლის აპრილი 
გიორგი	ხახნელიძე	საპროცედურო საკითხთა და წესების კომიტეტი	2010-04-19	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2010 წლის აპრილი 
ლაშა	მინდელი	თავდაცვისა და უშიშროების კომიტეტი	2010-02-05	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2010 წლის თებერვალი 
რატი	მაისურაძე	თავდაცვისა და უშიშროების კომიტეტი	2010-02-05	კომიტეტის სხდომების არასაპატიო მიზეზით გაცდენის მონაცემები 2010 წლის თებერვალი 
